id_spatial	Long	Lat	Island	Coral	CCA	Turf	Macro	Other	Grazers	Scrapers	Browsers	Predators	Secondary	Effluent	Sedimentation	New_Development	Habitat_Modification	Invasive_Algae	Fishing_Comm_Total	Fishing_NonComm_Boat_Total	Fishing_NonComm_Shore_Line	Fishing_NonComm_Shore_Net	Fishing_NonComm_Shore_Spear	SST_CLIM_M	SST_STD	CHL_CLIM_M	CHL_ANOM_F	PAR_CLIM_M	PAR_STD	WAV_CLIM_M	WAV_ANOM_F	Complexity	Depth	Regime	Regime1	Regime2	Regime3	Regime5
26	-157,2539104	21,17985605	Molokai	1,006711411	4,36241608	79,19463091	2,684563795	10,40268454	0,106318607	0,126174779	0	0	1,749019269	5135,399902	5,1233468	0,023677	0	0	0,0138169	0,268046	5,6224241	0	0,3632019	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	31,11747169	0,085353002	3,127563604	7	1	1	0	0	0
28	-157,2535255	21,1763929	Molokai	0	0,3571429	74,64285703	2,142857198	22,85714288	0,852531168	0	0,09109042	0	4,997677554	3098,216553	4,0380607	0,0246409	0	0	0,0138169	0,2691414	8,9957514	3,671531	0,3703214	27,075	0,975189	0,115400001	0,059300002	53,95420074	9,429599762	32,99458694	0,079241	5,043251921	3,4	1	1	0	0	0
30	-157,2574754	21,08174343	Molokai	56,82303809	1,393745106	37,94434727	1,745823653	0,696872606	4,408297352	2,721341383	0,235773324	2,452587663	10,3650568	0	0,0898536	0,0009134	0	0	0,0138169	0,4263403	0	0	0,3154373	27,394	0,945199	0,085500002	0,124499999	54,46559906	9,267299652	9,067265	0,124974		11	5	0	0	0	1
31	-157,2545064	21,07712274	Molokai	14,42953027	1,342281846	70,80536912	0,671140872	11,74496648	59,33288479	0	1,647222656	24,72780166	15,44526764	0	0,0106662	0,0003302	0	0	0,0138169	0,4272223	0	0	0,1628846	27,394	0,945199	0,085500002	0,124499999	54,46559906	9,267299652	9,323996	0,12687		21	2	0	1	0	0
33	-157,1254232	21,08252689	Molokai	60,55984558	6,534749049	24,8069498	3,117760617	3,928571408	4,557078328	33,40324659	0	12,30643732	10,73972325	0	0	0	0	0	0,0168928	0,5165344	0	0	0,0373022	27,314	0,914067	0,110200003	0,140300006	55,00619888	9,106599808	15,154779	0,07608	18,94998204	21	5	0	0	0	1
36	-157,0743956	21,08393597	Molokai	42,76094267	4,713804752	51,85185187	0	0	9,615683593	19,10874189	2,205367191	0	6,906714248	0	0	0	0	0	0,0168928	0,5472878	0	0	0,2299317	27,277	0,912812	0,118699998	0,140300006	55,14379883	9,123299599	3,940444	0,153846	17,35183789	5,5	3	0	0	1	0
39	-157,0589614	20,88142864	Lanai	3,720797052	2,201671996	76,30382503	4,236142961	11,16697207	22,36955872	0	0,539255607	13,40329351	24,75344793	0	0,722792	0,0001712	0	0	0,0580965	0,3497664	0,1206118	0	0,0043701	27,497	0,927502	0,079800002	0,023700001	53,37820053	9,168000221	9,058750153	0,096523002		24,35	2	0	1	0	0
41	-157,0435924	21,07768189	Molokai	41,33333334	1,000000001	57,00000006	0	0	3,486282559	11,61109757	0,627539981	4,264096331	7,027044108	0	0	0	0	0	0,0168928	0,5629011	0	0	0,0804952	27,374	0,911447	0,125499994	0,148200005	55,81090164	9,300100327	27,042796	0,140569	14,91983421	23,9	3	0	0	1	0
42	-157,0402523	21,08065848	Molokai	51,50983207	0,668896305	45,81119299	0	1,341182326	7,436063272	1,005362231	0	0,309583308	11,6939407	1414,710693	0,00498995	0,000851	0	0	0,0168928	0,56379425	0	0	0,3707587	27,374	0,911447	0,125499994	0,148200005	55,81090164	9,300100327	27,042796	0,140569	5,892844866	4,6	3	0	0	1	0
44	-157,0364671	21,07847189	Molokai	73,28767116	1,02739726	23,28767125	0	1,7123288	2,939800706	16,91087819	1,673556544	8,629896914	5,602566841	509,2958374	0,3025278	0,0035437	0	0	0,0168928	0,5659423	0	0	0,3574229	27,374	0,911447	0,125499994	0,148200005	55,81090164	9,300100327	27,042796	0,140569	9,686172424	7,9	3	0	0	1	0
45	-157,0240698	21,18706212	Molokai	4,75	3,019230769	70,55769231	19,67307692	1,057692308	75,19536798	48,75322587	99,61183279	5,178373017	88,92050533	169,7652893	0	0,006498775	0	0	0,0076533	0,041490675	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	55,35768604	0,082665998	20,6340646	17,55	2	0	1	0	0
46	-157,0423807	20,86534054	Lanai	9,813384787	7,802445282	79,66767785	1,698382089	0,677973926	2,457620219	3,784796482	3,143138895	4,556817539	22,37455456	0	0,6929166	0	0	0	0,0580965	0,3020155	0	0	0,0003901	27,694	0,937115	0,096699998	0,0099	47,39459991	7,565100193	6,718540192	0,149419993		12	2	0	1	0	0
47	-157,0174839	21,18703243	Molokai	2,051282051	0,769230769	48,92307692	40,87179487	6,641025641	42,66855766	8,964893651	21,17317023	7,770319666	44,35199415	0	0	0,00491425	0	0	0,0076533	0,041101875	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	60,18026352	0,082191996	13,63477068	17,1	2	0	1	0	0
48	-157,0154692	21,18633715	Molokai	0,423076923	0,721153846	65,08653846	23,28846154	8,432692308	11,62926898	0,996534991	17,95036527	2,557507442	30,25091311	0	0	0,00510085	0	0	0,0076533	0,04094255	0,702803	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	60,18026352	0,082191996	10,17225283	17,5	2	0	1	0	0
49	-157,0134361	21,18661581	Molokai	2,800480769	1,548076923	60,87980769	28,51442308	3,403846154	70,05817439	29,85568839	32,06201692	9,169014495	55,42793458	0	0	0,00460235	0	0	0,0076533	0,040943075	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	57,75637054	0,081981003	13,62165995	13,8	2	0	1	0	0
50	-157,0115482	21,18530647	Molokai	9,538461538	4,807692308	73,92307692	5,653846155	0,115384616	13,36363045	4,220085552	285,5531917	1,140149785	53,26460389	0	0	0,004797767	0	0	0,0076533	0,040686833	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	57,75637054	0,081981003	12,91919832	14,45	2	0	1	0	0
51	-157,0099936	21,18379908	Molokai	2,152190623	3,612605688	58,03228286	34,0507302	0,845503459	41,47768837	19,08044317	3,481915655	4,077126267	36,10333523	0	0	0,0056197	0	0	0,0076533	0,0403173	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	57,75637054	0,081981003	18,526215	11,5	2	0	1	0	0
52	-157,0160601	21,07132565	Molokai	1,3333333	0	74,3333333	2,3333334	22	0,01110246	0	0	0	2,612593934	3848,013184	0,0673271	0,0002545	0	0	0,0168928	0,5755414	0	0	0,3579399	27,374	0,911447	0,125499994	0,148200005	55,81090164	9,300100327	4,366729	0,392413	3,624769984	6,4	1	1	0	0	0
54	-157,0062679	21,18288252	Molokai	0,820512821	0,769230769	72,28205128	23,64102564	2,256410256	7,055153794	10,55349413	23,43146495	0,420141522	49,65879828	321,8466835	0	0,005121525	0	0	0,0076533	0,0397679	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	53,79492379	0,082191996	6,484024339	12,2	2	0	1	0	0
55	-157,0127645	21,07055032	Molokai	6,818181777	0	92,85714294	0	0	1,531684246	1,028916847	0,943093298	0,407669289	12,04396674	9082,442383	0,2312952	0,0006246	0	0	0,0168928	0,5771328	0	0	0,3633905	27,374	0,911447	0,125499994	0,148200005	55,81090164	9,300100327	1,709085	0,503056	8,178518841	11,5	3	0	0	1	0
56	-157,0038837	21,18270865	Molokai	2,717948718	2,128205128	65,53846154	21,12820513	2,846153846	25,53811896	2,033382574	15,2979987	97,34825318	72,90402671	226,353714	0,007212967	0,004436833	0	0	0,0076533	0,039105167	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	52,43427277	0,082191996	14,07796452	20,2	2	0	1	0	0
57	-157,0018544	21,18192744	Molokai	1,692307693	1,230769231	72,53846154	15,46153847	6,615384615	120,7221427	1,498393383	146,9654866	28,31898294	98,07985399	226,353714	0,0675146	0,004174	0	0	0,0076533	0,0385569	0	0	0	26,709	0,924735	0,122900002	0,063199997	54,69839859	9,552900314	52,43427277	0,082191996	12,26860694	13,1	2	0	1	0	0
58	-157,0007001	21,06807757	Molokai	5,009434752	0,050954285	25,48638678	6,531777907	62,7803696	0,855701675	0,026908508	0	0	4,877648704	18971,26953	0,0493416	0,0020677	0	0	0,0168928	0,58188905	0	0	0,34926415	27,247	0,902208	0,154599994	0,0889	55,71749878	9,361300468	1,619400978	0,139514998	7,922989883	10	1	1	0	0	0
60	-156,9878589	21,20110702	Molokai	3,153846154	1,076923077	84,15384615	1,230769231	7,307692308	47,93690301	28,33453683	61,22540015	58,26387865	66,50116582	0	0	0,00094285	0	0	0,0076533	0,0441391	0	0	0	26,4315	0,92646	0,122900002	0,063199997	54,69839859	9,552900314	56,992055	0,079979	10,78698323	16,9	2	0	1	0	0
62	-156,9869274	21,20322095	Molokai	8,423076924	2,884615385	78,6923077	4,211538462	0,307692308	28,96126812	28,89097061	222,5231807	13,04360609	77,63346658	0	0	0,000790575	0	0	0,0076533	0,045154175	0	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	60,916072	0,079874	13,69987568	16,85	2	0	1	0	0
63	-156,9872943	21,19660188	Molokai	7,115384616	4,26923077	78,03846154	7,307692308	0,846153846	25,95503781	19,57374505	16,82277702	7,829204892	52,96512246	657,8404541	1,957712075	0,0013066	0	0	0,0076533	0,04208095	0	0	0	26,298	0,920978	0,122900002	0,063199997	54,69839859	9,552900314	43,8104325	0,080084	17,91729797	15,2	2	0	1	0	0
64	-156,9869341	21,19834539	Molokai	8,145000001	2,084358974	69,69346154	6,321923077	0,593205128	47,07001671	9,409139495	14,28328458	10,42270234	38,17000157	0	0,572588525	0,0013667	0	0	0,0076533	0,042862175	0	0	0	26,298	0,920978	0,122900002	0,063199997	54,69839859	9,552900314	53,068038	0,080084	14,41326633	18,5	2	0	1	0	0
66	-156,986299	21,19419546	Molokai	3,518912967	1,980658369	73,42366819	4,60565837	1,278846154	8,949650305	16,52663802	43,73926699	2,389646525	34,27587085	877,1206055	4,239101675	0,0016719	0	0	0,0076533	0,041177125	0,3514015	0	0	26,298	0,920978	0,122900002	0,063199997	54,69839859	9,552900314	40,724564	0,080084	14,26762421	14,2	2	0	1	0	0
68	-156,984487	21,20684173	Molokai	8,64423077	11,43269231	65,59615385	9,932692309	0,25	32,35457597	9,652310415	16,39912254	2,187175982	51,79720404	84,8826447	0	0,00153835	0	0	0,0076533	0,04589555	1,1244689	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	65,838872	0,077766	30,58179567	11,2	2	0	1	0	0
69	-156,9825312	21,20867068	Molokai	8,310096154	3,324519231	76,86778846	8,778846153	0,46875	35,36681961	12,62696721	43,91583759	10,97820571	32,4537589	84,8826447	0	0,0018582	0	0	0,0076533	0,04684332	0,89957512	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	65,838872	0,077766	17,40624579	14,25	2	0	1	0	0
73	-156,9779315	21,21376369	Molokai	16,03846154	9,999999998	67,15384615	2,961538462	0,423076923	50,13848962	30,27615405	45,18577774	32,39830083	47,85146803	84,8826447	0	0,001813067	0	0	0,0076533	0,049077633	1,405606	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	65,83887482	0,077766001	16,05853986	17,65	2	0	1	0	0
74	-156,9758271	21,2145637	Molokai	12,09615385	2,826923077	68,69230769	13,09615385	0,423076923	27,95778771	11,31886696	21,53452066	23,42965086	23,53695063	84,8826447	0	0,001938675	0	0	0,0076533	0,049563575	1,405606	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	70,28057486	0,0765015	18,34560556	15,1	2	0	1	0	0
75	-156,9735041	21,21522671	Molokai	13,84615385	3,794871795	75,15384616	5,58974359	0,461538461	8,575605615	23,38815966	12,09718032	7,368382439	32,95660707	84,8826447	0	0,001826625	0	0	0,0076533	0,05006625	0,702803	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	74,72227478	0,075236998	10,84074816	18,1	2	0	1	0	0
76	-156,9835843	21,06229084	Molokai	48,63878892	1,174496628	43,00429148	0	1,399217238	2,487919883	8,875669111	0	2,463511535	7,463345758	2603,067627	0,56357665	0,0019154	0	0	0,0168928	0,5877334	0	0	0,21953065	27,247	0,902208	0,154599994	0,0889	55,71749878	9,361300468	1,562652	0,057745	8,828667151	23,3	3	0	0	1	0
78	-156,9684058	21,21489293	Molokai	18,52335623	11,98155139	62,57993328	4,129014429	0,006410256	26,83613005	58,93947905	32,59903203	7,392526304	91,00416846	84,8826447	0	0,001922633	0	0	0,0079788	0,051356267	1,405606	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	84,0165329	0,078188002	24,30532798	15	2	0	1	0	0
79	-156,9650551	21,21366501	Molokai	18,61362709	9,671481257	61,70057848	5,136612517	0,168269231	15,74699055	7,533317715	56,25886261	13,02657456	45,28032816	84,8826447	0	0,001801175	0	0	0,0079788	0,0523973	1,405606	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	55,47843552	0,091464996	30,13176134	15,6	2	0	1	0	0
80	-156,9737568	21,0578069	Molokai	55,01436778	2,420977027	18,36446362	19,35823757	2,41858234	2,933245859	4,806215206	0,617267181	7,179759543	5,123953847	2546,479248	0,016832	0,0003233	0	0	0,0168928	0,5910611	0	0	0,0999129	27,247	0,902208	0,154599994	0,0889	55,71749878	9,361300468	1,83896	0,060906	10,87688786	25	5	0	0	0	1
81	-156,9609818	21,21038864	Molokai	15,88461538	10,65384616	58,69230769	13,03846154	0	94,4326158	2,020433058	41,26537326	18,59791985	72,36098983	84,8826447	0	0,00192905	0	0	0,0079788	0,0538026	1,405606	0	0	26,565	0,931942	0,116350003	0,0662	54,48740006	9,586800099	51,7892437	0,093045499	24,61999383	16,8	2	0	1	0	0
84	-156,9914101	20,78224914	Lanai	5,77312004	1,691487438	88,81228163	0,680272092	2,70500095	2,550696298	2,02938955	0,444318398	0,629038064	8,918631568	0	4,9960103	0,0220416	1	0	0,0580965	0,1745428	3,0152955	1,3700101	0,5825315	27,62599945	0,926355004	0,0766	0,094899997	53,69810104	8,772100449	7,945322037	0,063646004	12,73253043	5	2	0	1	0	0
85	-156,9885701	20,8172984	Lanai	7,023411383	0,334448128	90,63545162	0	1,337792611	9,772051489	20,00068852	0	1,175629285	10,42096904	0	11,1779175	0,0133357	0	0	0,0580965	0,1987245	0,1206118	0,0330123	0,0143989	27,66600037	0,927675009	0,096699998	0,0099	47,39459991	7,565100193	5,817311764	0,063224003	22,46734243	6	3	0	0	1	0
86	-156,959201	21,20849638	Molokai	17,32615384	14,06820513	55,10666667	9,681538463	0,358974359	38,08627042	46,23727418	98,73780463	11,69187011	79,04064871	0	0	0,00196795	0	0	0,0079788	0,054537333	1,405606	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	48,10005188	0,094626002	30,08622165	14,95	2	0	1	0	0
89	-156,9874972	20,81102597	Lanai	15,40532881	8,326247167	67,99178008	4,47137185	0	3,07500465	8,787571037	3,538255749	0,399967433	8,811515769	0	6,7737365	0,0135745	0	0	0,0580965	0,1960635	0,1206118	0	0,3538652	27,66600037	0,927675009	0,096699998	0,0099	47,39459991	7,565100193	6,666731834	0,062380999	19,70259148	3	2	0	1	0	0
90	-156,9577466	21,20685049	Molokai	16,16923077	8,584615384	57,81538462	16,01538462	0,430769231	40,2681576	52,30586559	33,45014607	24,7863998	89,87470106	0	0	0,0019252	0	0	0,0079788	0,05547722	1,405606	0	0	26,565	0,931942	0,122900002	0,063199997	54,69839859	9,552900314	48,10005188	0,094626002	21,62668939	17,7	2	0	1	0	0
91	-156,9898741	20,77514935	Lanai	17,48586545	3,118786357	64,86579152	3,525317293	10,50343293	7,92707114	8,713702842	2,789906565	3,284417785	19,10898535	0	3,5813062	0,0259527	0	0	0,0580965	0,1694143	0	0	0,5466148	27,62599945	0,926355004	0,0766	0,094899997	53,69810104	8,772100449	8,637352943	0,085142002	11,17474446	12	5	0	0	0	1
92	-156,9561463	21,20360655	Molokai	16,19230769	6,884615384	65,28846154	7,288461539	1,442307692	22,18542083	20,63357357	100,5493516	15,16586177	113,5598539	0	0	0,00192	0	0	0,0079788	0,056004975	1,405606	0	0	26,565	0,931942	0,119625002	0,064699998	54,59289932	9,569850206	43,3056488	0,099261999	20,3981293	12,95	2	0	1	0	0
93	-156,9550526	21,20042532	Molokai	9,215384615	3,15	72,03076923	12,99615385	0,413461538	67,96140409	39,99339513	22,61188679	13,23143325	222,9678786	0	0	0,0019329	0	0	0,0079788	0,0569274	1,405606	0	0	26,4048	0,9253636	0,109800003	0,069200002	54,27640152	9,620699883	39,96607971	0,1030558	11,84264148	16,3	2	0	1	0	0
95	-156,952446	21,19631648	Molokai	11,06339031	7,350427351	62,18233618	16,24145299	0,305555556	67,83930724	17,00263023	16,33288834	7,549403641	51,72473442	0	0	0,0019483	0	0	0,0079788	0,0582956	0,5621151	0	0	26,298	0,920978	0,109800003	0,069200002	54,27640152	9,620699883	37,73970032	0,105585001	10,83595705	13,25	2	0	1	0	0
96	-156,9506508	21,1939308	Molokai	13,11384616	12,76307692	57,00615385	13,68410257	0,4	46,06593741	15,38501441	33,19542975	15,13622586	38,80128428	0	0	0,00186	0	0	0,0079788	0,0594259	0,5621151	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	35,65503693	0,108957	11,54368489	13,6	2	0	1	0	0
97	-156,9488029	21,19140222	Molokai	10,41076923	6,010384616	71,17423077	6,351923077	0,572115385	53,25954249	7,61613748	84,41162985	2,533171576	48,51199139	0	0	0,00187245	0	0	0,0079788	0,0604587	0,5621151	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	35,65503693	0,108957	9,590005591	14,5	2	0	1	0	0
98	-156,9474254	21,18830277	Molokai	4,826811716	2,693888272	82,85901814	5,81836317	2,609354055	58,59675577	23,72404878	91,31688261	15,03453924	41,41412002	0	0	0,0018419	0	0	0,0079788	0,061563083	0,5621151	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	35,65503693	0,108957	15,72987248	15,65	2	0	1	0	0
99	-156,9474377	21,18344712	Molokai	7,365834546	4,889288162	72,70826191	12,74323007	1,003148454	115,4529308	32,29857087	17,35582666	2,608646259	24,41085547	0	1,45856845	0,001910567	0	1	0,0079788	0,062319917	0,5621151	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	29,51926486	0,115630667	20,5547056	16,2	2	0	1	0	0
100	-156,946436	21,18619213	Molokai	4,267025967	3,696962278	83,80818225	5,360852521	1,406173447	229,8622472	0	0	29,90589375	72,00143793	0	0	0,001748	0	1	0,0079788	0,06244985	0,28105755	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	30,50796318	0,114225999	10,49019546	17,8	2	0	1	0	0
101	-156,946267	21,17986885	Molokai	4,812530233	2,123850992	85,64489598	4,452104504	2,293541365	40,10369994	83,80749065	25,05750294	13,90536278	36,36933477	0	5,493508975	0,001873025	0	1	0,0079788	0,063123525	1,0542045	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	27,54186821	0,118440002	13,09651631	12	2	0	1	0	0
102	-156,9435646	21,17561988	Molokai	2,076923077	1,923076923	86,03846154	5,730769231	3,384615385	107,0838902	21,94651462	19,49027447	288,7279771	73,53247151	0	12,8334832	0,0018363	0	1	0,0079788	0,063608	1,405606	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	27,54186821	0,118440002		12,55	2	0	1	0	0
104	-156,938967	21,17437574	Molokai	8,961538462	5,807692309	74,5	6,153846155	2,884615385	64,32824347	6,143138302	27,9213111	18,41122529	159,5254713	0	20,6070938	0,00113785	0	1	0,0079788	0,066058	0	0	0	26,381	0,922689	0,109800003	0,069200002	54,27640152	9,620699883	27,44247246	0,115910999		13,35	2	0	1	0	0
105	-156,9706457	20,7423387	Lanai	5,743243186	8,445945926	84,45945957	0,337837805	1,013513515	9,545062324	0	2,127684967	0,470119941	8,28546775	0	2,2618902	0,0321216	0	0	0,0580965	0,1574377	0	0,0330123	0,145182	27,443	0,925453	0,0766	0,094899997	53,69810104	8,772100449	6,934280872	0,125395		3	2	0	1	0	0
106	-156,9472848	21,0487106	Molokai	49,30778685	4,299754285	38,02683803	0,844594586	0,506756731	5,831868494	8,502263799	1,531583264	8,432774582	14,55604782	113,176857	0	0	0	0	0,0168928	0,59745	0	0	0,1137522	27,061	0,865705	0,154599994	0,0889	55,71749878	9,361300468	1,776544	0,041517	9,01400047	21,8	5	0	0	0	1
